model,run_index,dataset,cpu_time,latency,len_dataset
ERU-KG-base,1,combined_kg,0.09728627808890637,0.09081635955372352,1271
ERU-KG-base [neighbor size 10],1,combined_kg,0.0746497826270653,0.06850536257896153,1271
ERU-KG-small,1,combined_kg,0.09915131541620771,0.09293225991453925,1271
ERU-KG-small [neighbor size 10],1,combined_kg,0.07528171680094414,0.068787156832115,1271
CopyRNN,1,combined_kg,0.18591294099763964,0.09060765700861753,1271
AutoKeyGen,1,combined_kg,0.198645545981904,0.10264843228668045,1271
UOKG,1,combined_kg,0.39351137528324154,0.21066941941093967,1271
TPG,1,combined_kg,1.2684194932627852,1.2680948180161904,1271
ERU-KG-base [only extract],1,combined_kg,0.013774678166011016,0.013765725444190432,1271
ERU-KG-small [only extract],1,combined_kg,0.01393195414948859,0.013924999372120639,1271
ERU-KG-base,2,combined_kg,0.09851899543981117,0.09194486597032644,1271
ERU-KG-base [neighbor size 10],2,combined_kg,0.07099955217781274,0.06448645089012164,1271
ERU-KG-small,2,combined_kg,0.09670464439103069,0.09041108905002886,1271
ERU-KG-small [neighbor size 10],2,combined_kg,0.07063183474901652,0.06439283492525763,1271
CopyRNN,2,combined_kg,0.18471516737057436,0.08974057215578814,1271
AutoKeyGen,2,combined_kg,0.20071994061290324,0.10284123750862223,1271
UOKG,2,combined_kg,0.39861868010306845,0.20754715141398433,1271
TPG,2,combined_kg,1.2604631154319434,1.2601388316750994,1271
ERU-KG-base [only extract],2,combined_kg,0.013668583047206922,0.013660456794720761,1271
ERU-KG-small [only extract],2,combined_kg,0.014060956724626279,0.014052793418770226,1271
ERU-KG-base [neighbor size 10],3,combined_kg,0.06935849258221873,0.06308690400502515,1271
ERU-KG-small,3,combined_kg,0.09943342917387885,0.09282166989744413,1271
ERU-KG-small [neighbor size 10],3,combined_kg,0.06929643497010228,0.06318939210485043,1271
CopyRNN,3,combined_kg,0.19060344561998424,0.09017323903639798,1271
AutoKeyGen,3,combined_kg,0.2068914067930763,0.10249844524074407,1271
UOKG,3,combined_kg,0.3934207750653029,0.2109785734622334,1271
TPG,3,combined_kg,1.286987708916601,1.286699467808313,1271
ERU-KG-base [only extract],3,combined_kg,0.013656956956726985,0.01364932090255053,1271
ERU-KG-small [only extract],3,combined_kg,0.01403349075216365,0.014025195202050858,1271
ERU-KG-base,4,combined_kg,0.09770634261605035,0.09093561780255766,1271
ERU-KG-base [neighbor size 10],4,combined_kg,0.0692685457199056,0.0631842530683492,1271
ERU-KG-small,4,combined_kg,0.09678711806687647,0.09015128276743915,1271
ERU-KG-small [neighbor size 10],4,combined_kg,0.06990029614004721,0.06317176432425727,1271
CopyRNN,4,combined_kg,0.19687196351219513,0.09243766629348862,1271
AutoKeyGen,4,combined_kg,0.20976729475137687,0.10326170058441762,1271
UOKG,4,combined_kg,0.4017275358733281,0.2064775522068483,1271
TPG,4,combined_kg,1.2961841578434303,1.2959778738434533,1271
ERU-KG-base [only extract],4,combined_kg,0.01373814887411487,0.013734697826634609,1271
ERU-KG-small [only extract],4,combined_kg,0.014504857154996066,0.01450100121396813,1271
ERU-KG-base,5,combined_kg,0.09864917985837923,0.09240730028280023,1271
ERU-KG-base [neighbor size 10],5,combined_kg,0.07004152596852872,0.06414656972997682,1271
ERU-KG-small,5,combined_kg,0.09943780438394964,0.09318475456898087,1271
ERU-KG-small [neighbor size 10],5,combined_kg,0.07079191990165223,0.06467487228657673,1271
CopyRNN,5,combined_kg,0.18383877578284816,0.09174207793175002,1271
AutoKeyGen,5,combined_kg,0.20249248366876477,0.10334426169316661,1271
UOKG,5,combined_kg,0.34615869236900076,0.20902740983490303,1271
TPG,5,combined_kg,1.2780146661140832,1.2779244468682962,1271
ERU-KG-base [only extract],5,combined_kg,0.013826767597167585,0.013822747627456389,1271
ERU-KG-small [only extract],5,combined_kg,0.014153453990558616,0.014149813648286906,1271
ERU-KG-small [only extract],1,combined_kg,0.014037861253343824,0.01403524629906535,1271
EmbedRank [SBERT],1,combined_kg,0.33787500890637295,0.02300020993740703,1271
EmbedRank [SBERT],2,combined_kg,0.3323881529402046,0.023038947985549313,1271
EmbedRank [SBERT],3,combined_kg,0.3388491145814319,0.023160977217271325,1271
EmbedRank [SBERT],4,combined_kg,0.33566760732966167,0.022875946023912526,1271
EmbedRank [SBERT],5,combined_kg,0.33292719663886705,0.02281017100876659,1271
PromptKP,1,combined_kg,-1.0,0.09624380468,1271
PromptKP,2,combined_kg,-1.0,0.09085738311,1271
PromptKP,3,combined_kg,-1.0,0.10563270957,1271
PromptKP,4,combined_kg,-1.0,0.09395308929,1271
PromptKP,5,combined_kg,-1.0,0.09301871413,1271
ERU-KG-base,3,combined_kg,0.09866782233438237,0.09212998646061595,1271
PromptRank,1,combined_kg,0.6168436430196695,0.7227752752701754,1271
PromptRank,2,combined_kg,0.6112113671290322,0.7207380335317832,1271
PromptRank,3,combined_kg,0.6123392571195909,0.7220337088890286,1271
PromptRank,4,combined_kg,0.6122001582950433,0.7239257154457218,1271
PromptRank,5,combined_kg,0.6124761981195909,0.7230339810005987,1271
ERU-KG-base [neighbor size 50],1,combined_kg,0.08865134047600315,0.08204830921512246,1271
ERU-KG-base [neighbor size 50],2,combined_kg,0.09099272362863886,0.08445419466092209,1271
ERU-KG-base [neighbor size 50],3,combined_kg,0.08778979522108576,0.08103623266392669,1271
ERU-KG-base [neighbor size 50],4,combined_kg,0.08898768888670339,0.08223167655038421,1271
ERU-KG-base [neighbor size 50],5,combined_kg,0.08980106356805664,0.08271093072148406,1271
